Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Achromobacter sp.,0.44,nmol C2H4 mg protein min−1,26.4,nmol/mg/h,"Ambrosini, A., Beneduzi, A., Stefanski, T., Pinheiro, F. G., Vargas, L. K., & Passaglia, L. M. (2012). Screening of plant growth promoting rhizobacteria isolated from sunflower (Helianthus annuus L.). Plant and Soil, 356, 245-264."
Achromobacter sp.,12.415 ± 0.225 ,nmoL C2H4 mg Protein h−1,12.415,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Achromobacter spanius,16.93,nmol C2H4 mg protein h−1,16.93,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Achromobacter xylosoxidans,0,nmole C2H4/tube/24 h,0,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Achromobacter xylosoxidans,17.36,nmol C2H4 mg protein h−1,17.36,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Achromobacter xylosoxidans,17.133 ± 0.310,nmoL C2H4 mg Protein h−1,17.133,nmol/mg/h,"Singh, R. K., Singh, P., Sharma, A., Guo, D. J., Upadhyay, S. K., Song, Q. Q., ... & Li, Y. R. (2022). Unraveling nitrogen fixing potential of endophytic diazotrophs of different Saccharum species for sustainable sugarcane growth. International Journal of Molecular Sciences, 23(11), 6242."
Achromobacter xylosoxidans HQ285876,495.12 ± 14.64,nmole ethylene h−1 mg protein−1,495.12 ,nmol/mg/h,"Karthikeyan, B., Joe, M. M., Islam, M. R., & Sa, T. (2012). ACC deaminase containing diazotrophic endophytic bacteria ameliorate salt stress in Catharanthus roseus through reduced ethylene levels and induction of antioxidative defense systems. Symbiosis, 56, 77-86."
Achromobacter xylosoxidans WM234C-3,1.70 ± 0.36,μmol C2H4 mg−1 protein h−1,1700,nmol/mg/h,"Jha, P., & Kumar, A. (2009). Characterization of novel plant growth promoting endophytic bacterium Achromobacter xylosoxidans from wheat plant. Microbial ecology, 58, 179-188."
Achromobacter xyloxidans,54.32±3.23,nmolethylene/h/mg protein,54.32,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Achromobacter sp. CH1,60,nmole C2H4 mg−1 protein h−1,60,nmol/mg/h,"Youseif, S. H. (2018). Genetic diversity of plant growth promoting rhizobacteria and their effects on the growth of maize plants under greenhouse conditions. Annals of Agricultural Sciences, 63(1), 25-35."
Acidovorax sp. BSB421,0,(nmol C2H4/vail/h,0,nmol/tube/h,"Su, Y., Shinano, T., Purnomo, E., & OSAKI, M. (2007). Growth promotion of rice by inoculation of acid-tolerant, N2-fixing bacteria isolated from acid sulfate paddy soil in South Kalimantan, Indonesia. Tropics, 16(3), 261-274."
Acinetobacter baumannii K-TMV7-7,0,pmol C2H4. h-1. mg-1,0,nmol/mg/h,"Krishnamoorthy, R., Anandham, R., Indiragandhi, P., Vaidyanathan, R., Mothilal, A., Karunakaran, V., ... & Senthilkumar, M. (2020). Characterization of phyllosphere methylotrophic bacteria isolated from the groundnut and their impact on growth, yield and quality of the kernel. Journal of Environmental Biology, 41(3), 600-606."
Acinetobacter calcoaceticus AY800383,95.56 ± 0.92 ,"nmol Ethylene
mg Protein−1 hr−1",95.56,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
"Acinetobacter calcoaceticus
ACO-40",106.1,nmol C2H4 per culture h−1,106.1,nmol/tube/h,"La Torre-Ruiz, D., Ruiz-Valdiviezo, V. M., Rincón-Molina, C. I., Rodríguez-Mendiola, M., Arias-Castro, C., Gutiérrez-Miceli, F. A., ... & Rincón-Rosales, R. (2016). Effect of plant growth-promoting bacteria on the growth and fructan production of Agave americana L. brazilian journal of microbiology, 47, 587-596."
Acinetobacter calcoaciticus,3.74 x 10-4,"(μmol C2H4
-1
cfu-1
h
-1",374000,nmol/h/10*6cells,"Hossain, G. M. A., Solaiman, A. R. M., Karim, A. J. M. S., Rahman, G. K. M. M., Baset, M. A., Rahman, M. M., & Dev, S. (2020). Characterization of Diazotrophs Isolated from Sugarcane Rhizosphere in Different Regions of Bangladesh. Int. J. Curr. Microbiol. App. Sci, 9(3), 2643-2655."
Acinetobacter guillouiae MF185217,25.84,nmoles C2H4 mg−1 protein h−1,25.84,nmol/mg/h,"Rana, K. L., Kour, D., Kaur, T., Sheikh, I., Yadav, A. N., Kumar, V., ... & Dhaliwal, H. S. (2020). Endophytic microbes from diverse wheat genotypes and their potential biotechnological applications in plant growth promotion and nutrient uptake. Proceedings of the national academy of sciences, India section B: biological sciences, 90, 969-979."
Acinetobacter johnsonii,253,nmol C2H4 per culture h-1,253,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Acinetobacter johnsonii CEWW11,80,"nmol 
C2H4/mg protein/day",3.333,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Acinetobacter johnsonii LMG 999 T (Z93440),92.4,nmol ml−1 h−1 C2H4,92.4,nmol/mL/h,"Chaudhary, H. J., Peng, G., Hu, M., He, Y., Yang, L., Luo, Y., & Tan, Z. (2012). Genetic diversity of endophytic diazotrophs of the wild rice, Oryza alta and identification of the new diazotroph, Acinetobacter oryzae sp. nov. Microbial ecology, 63, 813-821."
Acinetobacter pittii,0,nmol C2H4 per culture h-1,0,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Acinetobacter radioresistance, 210±2.34,nmolethylene/h/mg protein,210,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Acinetobacter radioresistens,40.9,μmol/vial.h,40900,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Acinetobacter radioresistens,41.1,μmol/vial.h,41100,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Acinetobacter soli B1 (NR_044454),42.64 ± 0.12,nmole C2H4 produced mg−1 dry bacteria h−1,42.64,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Acinetobacter sp. MR5,70±12,"n mol C2H4
released h-1 mg-1
protein",70,nmol/mg/h,"Rasul, M., Yasmin, S., Suleman, M., Zaheer, A., Reitz, T., Tarkka, M. T., ... & Mirza, M. S. (2019). Glucose dehydrogenase gene containing phosphobacteria for biofortification of Phosphorus with growth promotion of rice. Microbiological research, 223, 1-12."
Acinetobacter sp. PDB4,0.46,nmole/u g pr/h,460,nmol/mg/h,"Kotoky, R., Das, S., Singha, L. P., Pandey, P., & Singha, K. M. (2017). Biodegradation of Benzo (a) pyrene by biofilm forming and plant growth promoting Acinetobacter sp. strain PDB4. Environmental Technology & Innovation, 8, 256-268."
Acinetobacter sp. XJ104-YF-7(JQ726509),15.02,"nmol Ethylene
mg Protein−1 hr−1",15.02,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Actinobacterial WZS021,65,nmol/mL/h,65,nmol/mL/h,"Zhang, X., Tong, J., Dong, M., Akhtar, K., & He, B. (2022). Isolation, identification and characterization of nitrogen fixing endophytic bacteria and their effects on cassava production. PeerJ, 10, e12677."
Aeromonas dhakensis P21 (NR_042155),71.43 ± 0.78,nmole C2H4 produced mg−1 dry bacteria h−1,71.43,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Aeromonas ichthiosmia,2.52 ± 0.10,nmol mg–1 protein h–1,2.52,nmol/mg/h,"Poonguzhali, S., Madhaiyan, M., & Sa, T. (2006). Cultivation-dependent characterization of rhizobacterial communities from field grown Chinese cabbage Brassica campestris ssp pekinensis and screening of traits for potential plant growth promotion. Plant and soil, 286, 167-180."
Aeromonas taiwanensis A2-50 (NR_116585),9.36 ± 0.41,nmole C2H4 produced mg−1 dry bacteria h−1,9.36,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Aeromonas veronii,359,nmol/h/vial,359,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Agrobacterim tumefaciens LMG196(X67223),25.2,μmole C2H4 mg−1 nodule hr−1,25200000,nmol/g nodule/h,"Hung, M. H., Bhagwath, A. A., Shen, F. T., Devasya, R. P., & Young, C. C. (2005). Indigenous rhizobia associated with native shrubby legumes in Taiwan. Pedobiologia, 49(6), 577-584."
Agrobacterim tumefaciens strain 2001023242,1.16±0.78,(nmole C2H4 mg-1 protein h-1,1.16,nmol/mg/h,"Bhromsiri, C., & Bhromsiri, A. (2010). Isolation, screening of growth-promoting activities and diversity of rhizobacteria from vetiver grass and rice plants. Thai Journal of Agricultural Science, 43(4), 217-230."
Agrobacterium arsenijevicii,1.98,nmol/mL/h,1.98,nmol/mL/h,"Kumar, S. B., Kalwasińska, A., Świątczak, J., Brzezinska, M. S., & Kęsy, J. (2024). Characterization of salt-tolerant diazotrophs with plant growth-promoting potential isolated from soda industry-affected technosoils. Plant and Soil, 1-14."
Agrobacterium fabacearum CNPSo 675,27.65/31.45/27.05,nmol C2H4/(mL·h),27.65/31.45/27.05,nmol/mL/h,"Shi, Z., Guo, X., Lei, Z., Wang, Y., Yang, Z., Niu, J., & Liang, J. (2023). Screening of high-efficiency nitrogen-fixing bacteria from the traditional Chinese medicine plant Astragalus mongolicus and its effect on plant growth promotion and bacterial communities in the rhizosphere. BMC microbiology, 23(1), 292."
Agrobacterium larrymoorei,0,nmol C2H4 h−1 10−6 cells,0,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Agrobacterium larrymoorei,0,nmol C2H4 h−1 10−6 cells,0,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Agrobacterium larrymoorei KJ870021,1.6 ± 1.5,nanomoles of ethylene produced mg−1 protein hr−1,1.6 ,nmol/mg/h,"Marag, P. S., & Suman, A. (2018). Growth stage and tissue specific colonization of endophytic bacteria having plant growth promoting traits in hybrid and composite maize (Zea mays L.). Microbiological Research, 214, 101-113."
"Agrobacterium larrymoorei strain S3-89
(JQ660107)",100.89,"nmol Ethylene
mg Protein−1 hr−1",100.89,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Agrobacterium pusense NRCPB10,10.57 ± 0.26,nmol h−1 per mg cell protein,10.57,nmol/mg/h,"Chaiya, L., Gavinlertvatana, P., Teaumroong, N., Pathom-Aree, W., Chaiyasen, A., Sungthong, R., & Lumyong, S. (2021). Enhancing Teak (Tectona grandis) seedling growth by rhizosphere microbes: a sustainable way to optimize agroforestry. Microorganisms, 9(9), 1990."
Agrobacterium radiobacter IAM 12048T (AB247615),0,nmol h−1 per mg Cell Protein,0,nmol/mg/h,"Wiriya, J., Rangjaroen, C., Teaumroong, N., Sungthong, R., & Lumyong, S. (2020). Rhizobacteria and arbuscular mycorrhizal fungi of oil crops (physic nut and sacha inchi): A cultivable-based assessment for abundance, diversity, and plant growth-promoting potentials. Plants, 9(12), 1773."
Agrobacterium sp.,309 ± 11.86,n mol C2H4.h−1.mL−1,309,nmol/mL/h,"Xing, Y. X., Wei, C. Y., Mo, Y., Yang, L. T., Huang, S. L., & Li, Y. R. (2016). Nitrogen-fixing and plant growth-promoting ability of two endophytic bacterial strains isolated from sugarcane stalks. Sugar Tech, 18, 373-379."
Agrobacterium sp. JN628031,0,nmole C2H4 mg−1 protein h−1,0,nmol/mg/h,"Naqqash, T., Hameed, S., Imran, A., Hanif, M. K., Majeed, A., & van Elsas, J. D. (2016). Differential response of potato toward inoculation with taxonomically diverse plant growth promoting rhizobacteria. Frontiers in plant science, 7, 144."
Agrobacterium tumefaciens,561.1±35.28,pmol C2H4 /mg of protein/ h,0.5611,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,566.6±50.00,pmol C2H4 /mg of protein/ h,0.5666,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,211.7±17.15,pmol C2H4 /mg of protein/ h,0.2117,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,326.4±24.48,pmol C2H4 /mg of protein/ h,0.3264,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,246.8±27.02,pmol C2H4 /mg of protein/ h,0.2468,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,494.2±25.52,pmol C2H4 /mg of protein/ h,0.4942,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,363.5±25.12,pmol C2H4 /mg of protein/ h,0.3635,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,327.6±27.48,pmol C2H4 /mg of protein/ h,0.3276,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,434.4±19.86,pmol C2H4 /mg of protein/ h,0.4344,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,366.4±38.34,pmol C2H4 /mg of protein/ h,0.3664,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,447.3±27.31,pmol C2H4 /mg of protein/ h,0.4473,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,365.9±38.05,pmol C2H4 /mg of protein/ h,0.3659,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,439.8±21.82,pmol C2H4 /mg of protein/ h,0.4398,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,415.0±17.32,pmol C2H4 /mg of protein/ h,0.415,nmol/mg/h,"Yim, W. J., Poonguzhali, S., Madhaiyan, M., Palaniappan, P., Siddikee, M. A., & Sa, T. (2009). Characterization of plant-growth promoting diazotrophic bacteria isolated from field grown Chinese cabbage under different fertilization conditions. The Journal of Microbiology, 47, 147-155."
Agrobacterium tumefaciens,1.68,u mol C2H4.h−1.mg−1,1680,nmol/mg/h,"Sharma, S., Kulkarni, J., & Jha, B. (2016). Halotolerant rhizobacteria promote growth and enhance salinity tolerance in peanut. Frontiers in microbiology, 7, 1600."
Agrobacterium tumefaciens,0,nmol C2H4 h−1 10−6 cells,0,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Agrobacterium tumefaciens,0,nmol C2H4 h−1 10−6 cells,0,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Agrobacterium tumefaciens,0,nmol C2H4 h−1 10−6 cells,0,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Agrobacterium tumefaciens,0,nmol h−1 g−1 nodule dry weight,0,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Agrobacterium tumefaciens,0.007,nmol C2H4 mL−1 h−1,0.007,nmol/mL/h,"Rout, M. E., & Chrzanowski, T. H. (2009). The invasive Sorghum halepense harbors endophytic N 2-fixing bacteria and alters soil biogeochemistry. Plant and Soil, 315, 163-172."
Agrobacterium tumefaciens PRE2,51,nmole C2H4 mg−1 protein h−1,51,nmol/mg/h,"Youseif, S. H. (2018). Genetic diversity of plant growth promoting rhizobacteria and their effects on the growth of maize plants under greenhouse conditions. Annals of Agricultural Sciences, 63(1), 25-35."
Agrobacterium tumefaciens strain R6-364,61,nmole C2H4 mg−1 protein h−1,61,nmol/mg/h,"Youseif, S. H. (2018). Genetic diversity of plant growth promoting rhizobacteria and their effects on the growth of maize plants under greenhouse conditions. Annals of Agricultural Sciences, 63(1), 25-35."
Agrobacterium tumefaciens NCPPB 2437T (AB247617),0,nmol h−1 per mg Cell Protein,0,nmol/mg/h,"Wiriya, J., Rangjaroen, C., Teaumroong, N., Sungthong, R., & Lumyong, S. (2020). Rhizobacteria and arbuscular mycorrhizal fungi of oil crops (physic nut and sacha inchi): A cultivable-based assessment for abundance, diversity, and plant growth-promoting potentials. Plants, 9(12), 1773."
Agrobacterium tumifaciens W3 FJ425916,70,nmol/mg/h,70,nmol/mg/h,"Cibichakravarthy, B., Preetha, R., Sundaram, S. P., Kumar, K., & Balachandar, D. (2012). Diazotrophic diversity in the rhizosphere of two exotic weed plants, Prosopis juliflora and Parthenium hysterophorus. World Journal of Microbiology and Biotechnology, 28, 605-613."
